,RF_Pr,RF_Rc,RF_F1,RF_F05,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
environment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHM C01 MS NBD,0.835307581,0.652,0.656243026,0.715713376,0.460680037,0.444,0.396826454,0.40431264,0.383787833,0.5575,0.392785389,0.3479916,0.512717242,0.383,0.416241679,0.459591534,0.075834994,0.069137539,0.06867876,0.073160528,0.102601846,0.064360395,0.061681327,0.070648569,0.166589533,0.034465356,0.034870666,0.056273096,0.111933964,0.104102051,0.097061422,0.098786968
PHM C01 SS HBD,0.693204178,0.562,0.578937972,0.623067661,0.266272225,0.282,0.266934788,0.26163394,0.458157609,0.525,0.399615388,0.383678003,0.45572999,0.3685,0.372162388,0.399755556,0.07025838,0.074590413,0.067622501,0.064180873,0.066396852,0.055193434,0.041826236,0.04172862,0.1771834,0.031900549,0.035905702,0.057102414,0.13615805,0.091502113,0.093284435,0.10618925
PHM C01 SS LBD,0.506578907,0.311,0.331777115,0.38287355,0.502794126,0.5975,0.535216301,0.51320589,0.393440748,0.5015,0.350770554,0.316965072,0.521942153,0.3375,0.388330776,0.448282663,0.079373121,0.041767126,0.044540501,0.05198129,0.068983633,0.104519635,0.078786023,0.070897617,0.221614513,0.030477935,0.036318387,0.064356973,0.121707402,0.087854642,0.091644722,0.100676752
PHM C01 SS NBD,0.477912008,0.3625,0.39973463,0.43858644,0.500551566,0.5,0.493430318,0.495695425,0.472361139,0.807,0.568120883,0.490197362,0.439770155,0.417,0.386740518,0.394648669,0.012185382,0.025692835,0.021853223,0.017259202,0.083759851,0.10266428,0.083111138,0.080434684,0.055857039,0.033524198,0.02412904,0.027588608,0.124779381,0.069960711,0.068557485,0.079165543
PHM C04 MS NBD,0.73929934,0.2545,0.359196814,0.494117145,0.49830692,0.589,0.490476726,0.470313412,0.323340263,0.2095,0.15988792,0.168205204,0.498859037,0.3935,0.421447928,0.456998772,0.199984445,0.080707612,0.099681825,0.121975296,0.101870643,0.075494247,0.067015684,0.069366886,0.346088291,0.029301319,0.046058019,0.089801124,0.110508589,0.106529796,0.099582277,0.100963957
PHM C04 SS HBD,0.610960288,0.7125,0.620409372,0.597756527,0.518324557,0.6065,0.552209776,0.53002214,0.357950901,0.4505,0.325060211,0.29447847,0.428487448,0.2625,0.285525793,0.333387614,0.076111256,0.058187874,0.050681945,0.053278046,0.071349686,0.105163849,0.078119263,0.071873226,0.189545192,0.028151215,0.032788015,0.054313105,0.166011057,0.084078393,0.092377525,0.112357679
PHM C04 SS LBD,0.661857171,0.756,0.672062837,0.656780147,0.409147009,0.455,0.427823257,0.415666534,0.410643094,0.4995,0.370041477,0.340892047,0.487765003,0.28,0.32393621,0.386047153,0.060544297,0.059865194,0.055672438,0.056980765,0.051806851,0.074325929,0.053389158,0.04984124,0.184799185,0.031331949,0.03626519,0.059031523,0.149748699,0.086055106,0.090166648,0.102583086
PHM C04 SS NBD,0.750765859,0.878,0.784030245,0.757354468,0.486632294,0.4415,0.44850372,0.463272414,0.438995909,0.6835,0.472380895,0.410939022,0.499500335,0.5095,0.469133077,0.472753796,0.046343898,0.044851339,0.041562577,0.041793237,0.102660478,0.099622186,0.08948903,0.091434882,0.143576619,0.037442145,0.033031841,0.048325258,0.090228426,0.091719508,0.077110941,0.078106256
PHM C06 MS NBD,0.863927909,0.3555,0.469369143,0.616311538,0.501006016,0.713,0.577856406,0.527370399,0.489491005,0.705,0.528712683,0.478608901,0.522806028,0.488,0.484594321,0.497824946,0.080428337,0.086820271,0.101116454,0.107900965,0.053848643,0.086410184,0.061391366,0.055375221,0.099535365,0.033316625,0.025298381,0.033262222,0.097780756,0.111651799,0.090819749,0.086960346
PHM C06 SS HBD,0.709109892,0.843,0.75897328,0.725657372,0.315774077,0.324,0.310616008,0.308269391,0.448597535,0.518,0.399619257,0.374619255,0.388458875,0.2225,0.264737713,0.317155642,0.043840865,0.054564903,0.043699473,0.042333894,0.094135782,0.080023481,0.068765311,0.069470681,0.158671901,0.034514023,0.035809648,0.054056467,0.167934941,0.087658744,0.10243225,0.125288542
PHM C06 SS LBD,0.204993712,0.2795,0.228309214,0.212227076,0.50980964,0.5765,0.530280355,0.515822708,0.433565873,0.2665,0.26615103,0.295994086,0.416966142,0.1805,0.231648694,0.29424689,0.007699349,0.005986095,0.006390137,0.006706832,0.071350415,0.085241702,0.069277967,0.06811742,0.248372642,0.034444993,0.045435734,0.076616143,0.192674173,0.067220005,0.081406178,0.103589433
PHM C06 SS NBD,0.829893817,0.7255,0.754155328,0.791541502,0.516625522,0.509,0.50698756,0.511236346,0.359524747,0.3085,0.255549866,0.257592766,0.408710983,0.2475,0.27495705,0.321019334,0.01928767,0.048849473,0.037269225,0.028463344,0.083752323,0.108107506,0.088430412,0.083308899,0.22983872,0.02901984,0.041827048,0.073399351,0.163446767,0.067795184,0.082056418,0.107241302
Simulated HBD,0.798459125,0.9395,0.851425133,0.816293462,0.357700353,0.2805,0.255867178,0.27186387,0.447343048,0.519,0.380163096,0.359879584,0.514203605,0.2075,0.286472454,0.381673231,0.038519694,0.034309611,0.031662878,0.034684971,0.177448209,0.049773256,0.058576651,0.082534863,0.165718017,0.029455281,0.031982181,0.051292205,0.180054494,0.085921572,0.106889719,0.131492405
Simulated LBD,0.776938374,0.9285,0.834467409,0.796362714,0.464884455,0.423,0.408626877,0.4273565,0.421327774,0.3375,0.269892179,0.282789429,0.48174895,0.2355,0.296158341,0.369242536,0.038869305,0.024479305,0.030594868,0.034929846,0.117508425,0.092598249,0.09131057,0.099952994,0.252334869,0.031963798,0.041648757,0.073959409,0.167376543,0.083939797,0.099395165,0.119241758
Simulated NBD,0.842214242,0.878,0.838256758,0.834281775,0.42386112,0.451,0.423365388,0.420606862,0.425742538,0.6735,0.471463433,0.409679933,0.503581346,0.2005,0.27079994,0.360272701,0.041717188,0.053646758,0.04394039,0.041162841,0.065485966,0.075744212,0.065188946,0.063704364,0.132556259,0.032550754,0.029596448,0.043441092,0.186354966,0.074476797,0.091659166,0.11569649
