,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/V8-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,2,0.8595600414078675,0.985,0.9170471017606582,0.8814734116458254,0.05766738348503051,0.03374742788552765,0.0385909958710426,0.04987444845134199,0.5203991596638655,0.49000000000000005,0.501542504042504,0.5119886363636363,0.11611876094652394,0.12649110640673517,0.11325580375621558,0.11334031476914642,0.5000693000693001,0.975,0.6609974673680108,0.5540150256720023,0.01056406259914839,0.026352313834736518,0.013325834931728927,0.011310061541798247,0.6033585858585859,0.215,0.3088009955005167,0.427297181984682,0.18513008873010972,0.07090682462060882,0.08056434312084479,0.0904100632113365,models/2_0_Dasic_NoNBD__RF_Model_06-Jul-2023_10-52_0.86_0.98_0.88.mdl,52.90600919723511,23.0895574092865,1.3838748931884766,17.035229444503784
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/V8-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,2,0.7824786324786326,1.0,0.8776292060288361,0.8178937245087134,0.032528368642568146,0.0,0.02056406414498295,0.028485023505640143,0.5355576259489303,0.65,0.5840256969838378,0.5533506597569098,0.05339320050362879,0.11785113019775792,0.0683430883047138,0.05554904809746436,0.49608636977058024,0.97,0.6563997662185856,0.5497929880197321,0.012298073493219546,0.03496029493900506,0.01819460308981322,0.014094018495711468,0.40535714285714286,0.075,0.11930484973963232,0.19267017704517703,0.2914499518819707,0.07546154281781181,0.10666359898440968,0.14270036449194992,models/2_1_Dasic_LowNBD__RF_Model_06-Jul-2023_10-54_0.78_1.00_0.82.mdl,46.422327756881714,11.943155288696289,0.9052996635437012,10.72920036315918
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/V8-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,2,0.7863582311408399,1.0,0.8798312058041422,0.8211579334180836,0.042840690099576695,0.0,0.026533036487319233,0.0372225908796903,0.30333333333333334,0.025,0.04483418031244117,0.08764880952380952,0.40565447804203464,0.026352313834736494,0.047452258825946225,0.09539929830174382,0.5039811066126856,0.9800000000000001,0.6655756867329047,0.5581835799859055,0.018573241357813047,0.03496029493900506,0.02318163183513921,0.020096740418753336,0.5692513368983957,0.355,0.433790051911494,0.5045172674332891,0.11582311065594954,0.10658851303546323,0.10769778320659268,0.11007100768324127,models/2_2_Dasic_HighNBD__RF_Model_06-Jul-2023_10-55_0.79_1.00_0.82.mdl,48.75875997543335,19.454699277877808,1.0130462646484375,11.616271495819092
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/V8-R1,,100,70,2,0.9916666666666666,0.655,0.7876830277565572,0.8980693154454764,0.026352313834736518,0.06433419688539592,0.051436165987651716,0.03679566433488318,0.5357320744389711,0.6,0.5635122120579668,0.5460065756463146,0.05613086516768167,0.08498365855987973,0.05629282082838021,0.05340744156503752,0.5038461538461538,0.9949999999999999,0.6689070718877849,0.5590204369274137,0.00619289604538008,0.015811388300841906,0.007187608081862578,0.0064000540586881425,0.35857142857142854,0.075,0.12234435773566206,0.19946338383838383,0.1200864725810171,0.0263523138347365,0.039375739506462955,0.05932765874620657,models/2_3_PHM_C01_SS_NoNBD__RF_Model_06-Jul-2023_10-56_0.99_0.66_0.90.mdl,140.0690577030182,11.715076208114624,0.8983430862426758,10.708049058914185
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/V8-R1,,100,70,2,0.9790476190476192,0.645,0.7744798349447306,0.8841216091699838,0.03376142341878201,0.08316649966583098,0.05865287629173345,0.03414281868090433,0.51655660188339,0.725,0.602047575619395,0.5474657287157287,0.05600485240511998,0.11606990230986766,0.0759733278521499,0.06234119345411032,0.35,0.02,0.037662337662337654,0.08035714285714284,0.47434164902525694,0.025819888974716113,0.048637925739008166,0.10409578086964025,0.5307597957597958,0.24500000000000002,0.328306984625394,0.4204575755127225,0.09659577090110535,0.08316649966583099,0.08334768135705987,0.07751805560175744,models/2_4_PHM_C01_SS_LowNBD__RF_Model_06-Jul-2023_10-59_0.98_0.64_0.88.mdl,129.85433530807495,12.458983659744263,0.9153652191162109,10.924305438995361
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/V8-R1,,100,70,2,0.8000183150183151,0.49000000000000005,0.6017534943270237,0.7032529239766082,0.10135407688775912,0.08755950357709129,0.07669583405582947,0.07013914243170265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5012127512127511,0.975,0.6619889876649543,0.5551350296989832,0.009576415406631662,0.03535533905932738,0.015528889060457558,0.011255310980609895,0.48068909592822634,0.525,0.5004922889219989,0.4881091047882652,0.051145744108205805,0.08579691784155832,0.0639908795683199,0.05503198326091331,models/2_5_PHM_C01_SS_HighNBD__RF_Model_06-Jul-2023_11-02_0.80_0.49_0.70.mdl,125.20438385009766,12.444421768188477,0.9355475902557373,10.92208194732666
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/V8-R1,,100,70,2,0.9631495405179615,0.755,0.8423435071812182,0.9093402509485176,0.04153596591399987,0.10658851303546323,0.07291155885694267,0.0461879367156478,0.4698045470181693,0.37,0.41258674036263165,0.4446113895162808,0.10874970776220613,0.10055402085998905,0.10420408441813055,0.10683376925397257,0.49608636977058024,0.9650000000000001,0.6552698227157607,0.5494773314540755,0.013702856972031338,0.033747427885527655,0.019359150353961765,0.015488046130630534,0.49888167722567056,0.755,0.6002873423093105,0.5349663908221377,0.04497813834629381,0.09846036991827954,0.06239188519637579,0.05060337649259387,models/2_6_PHM_C04_SS_NoNBD__RF_Model_06-Jul-2023_11-04_0.96_0.76_0.91.mdl,147.04526352882385,11.702320098876953,0.882824182510376,10.79585313796997
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/V8-R1,,100,70,2,0.6564145467065379,0.985,0.7873518824075348,0.7031280038632979,0.04307336958539291,0.024152294576982425,0.03677856597911933,0.04130083930173797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7336589336589336,0.99,0.8425994449583719,0.7736436950146628,0.024871243962126224,0.03162277660168379,0.024938505444383325,0.024601445647193083,0.5118831168831168,0.135,0.2036707629288274,0.3015625,0.2106277601239508,0.0747217059048663,0.09671344581686281,0.11208954448537543,models/2_7_PHM_C04_SS_LowNBD__RF_Model_06-Jul-2023_11-07_0.66_0.99_0.70.mdl,128.37294697761536,12.067832946777344,0.8824188709259033,10.607816457748413
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/V8-R1,,100,70,2,0.6845938932243281,0.825,0.747669603115465,0.7083962752926533,0.05146047945415842,0.0790569415042095,0.05909596091188432,0.05346256936721691,0.530279360486257,0.65,0.5826103865266855,0.5497736040470922,0.07262345649933585,0.11547005383792512,0.08615046323887438,0.07659212388441244,0.5,0.985,0.6632573543736606,0.5546012450082217,0.008547008547008555,0.024152294576982418,0.011984508823129904,0.009535699006559402,0.4654906153358166,0.315,0.36735871980812174,0.41635250634821575,0.1381649803246382,0.1292069829554287,0.1188605650672233,0.1174163801867816,models/2_8_PHM_C04_SS_HighNBD__RF_Model_06-Jul-2023_11-10_0.68_0.82_0.71.mdl,86.82402276992798,12.214749336242676,0.8625726699829102,10.819133043289185
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/V8-R1,,100,70,2,1.0,0.55,0.7069825058145414,0.8562820961718021,0.0,0.07453559924999298,0.06231425514625332,0.0369869755335744,0.5062441643323996,0.465,0.4825188690849795,0.4958980992770348,0.06142030732845435,0.06687467549246293,0.05514253095005609,0.05625599499073198,0.35,0.02,0.037662337662337654,0.08035714285714284,0.4743416490252569,0.025819888974716113,0.048637925739008166,0.10409578086964025,0.2833333333333333,0.04,0.06902300597952771,0.12396284271284268,0.24595492912420727,0.03162277660168379,0.054978208035676206,0.10063416783672363,models/2_9_PHM_C06_SS_NoNBD__RF_Model_06-Jul-2023_11-12_1.00_0.55_0.86.mdl,143.02769422531128,11.812168598175049,0.9066183567047119,10.784627199172974
