time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,-0.368,1.829,0.328,0.099,0.065,0.063,-0.004,0.062788648,0
1,0.543,0.392,-0.047,0.081,0.067,0.106,-0.004,0.062788648,0
2,-0.053,-0.155,-0.699,0.062,0.058,0.057,-0.002,0.062788648,0
3,-0.757,-1.441,0.342,0.056,0.081,0.079,-0.001,0.062788648,0
4,-0.216,-0.81,0.515,0.109,0.121,0.136,0,0.062788648,0
5,0.966,0.309,1.252,0.077,0.059,0.068,0.003,0.062788648,0
6,0.924,1.404,2.113,0.068,0.095,0.099,0.004,0.062788648,0
7,0.118,0.657,-0.059,0.107,0.073,0.105,0.003,0.062788648,0
8,0.912,0.804,-1.302,0.08,0.072,0.066,0.007,0.062788648,0
9,2.38,0.522,0.683,-0.006,0.034,0.033,0.005,0.062788648,0
10,1.708,0.938,-0.129,0.031,0.057,0.085,0.002,0.062788648,0
11,1.55,0.36,0.053,0.081,0.064,0.084,0.005,0.062788648,0
12,2.058,1.834,-0.109,0.024,0.046,0.026,0.006,0.062788648,0
13,2.637,0.409,0.922,0.032,0.013,0.006,0.003,0.062788648,0
14,1.955,1.66,0.531,0.072,0.097,0.108,0.002,0.062788648,0
15,1.727,1.841,-0.529,0.045,0.064,0.093,0.005,0.062788648,0
16,2.58,0.374,-1.812,-0.006,-0.019,-0.011,0.008,0.062788648,0
17,1.406,1.948,-0.564,0.105,0.082,0.072,0.002,0.062788648,0
18,0.172,2.678,-1.512,0.008,0.036,0.023,0.005,0.062788648,0
19,0.869,0.823,-0.32,-0.042,0.01,0.013,0.001,0.062788648,0
20,0.876,-0.459,-0.809,-0.051,-0.038,-0.016,0.003,0.062788648,0
21,0.279,1.587,-0.271,0.055,0.058,0.084,0.002,0.062788648,0
22,-0.749,2.237,-1.059,0.059,0.071,0.049,0.002,0.062788648,0
23,0.239,0.948,-1.073,-0.032,-0.013,-0.027,0.004,0.062788648,0
24,0.71,-0.295,-1.088,-0.036,-0.029,-0.033,0.009,0.062788648,0
25,-0.239,1.242,-0.893,0.009,-0.004,0.004,0.008,0.062788648,0
26,0.242,1.424,-1.239,0.067,0.067,0.107,0.007,0.062788648,0
27,0.6,2.163,-0.623,0.017,0.007,0.009,0.011,0.062788648,0
28,0.145,1.534,-1.374,0.03,0.05,0.016,0.01,0.062788648,0
29,1.095,4.062,-2.646,0.053,0.056,0.044,0.008,0.062788648,0
30,-0.184,2.376,0.106,0.069,0.078,0.049,0.009,0.062788648,0
31,1.906,1.188,-0.97,0.003,0.05,0.057,0.015,0.062788648,0
32,0.536,0.154,-0.943,0.055,0.06,0.101,0.013,0.062788648,0
33,0.428,2.174,-0.716,0.034,0.047,0.063,0.004,0.062788648,0
34,1.502,1.234,-1.24,-0.064,-0.049,-0.056,0.006,0.062788648,0
35,0.818,1.34,-1.091,0,-0.01,0.007,0.008,0.062788648,0
36,0.187,1.789,-1.815,0.045,0.034,0.048,0.005,0.062788648,0
37,0.12,2.52,-0.708,0,0.008,0.031,0.002,0.062788648,0
38,0.145,0.225,0.752,0.021,0.064,0.063,0.001,0.062788648,0
39,-0.659,-0.012,0.425,0.004,0.008,0.045,0.002,0.062788648,0
40,-0.849,1.074,-1.194,-0.01,-0.026,-0.021,0.005,0.062788648,0
41,-0.921,1.011,-1.554,-0.022,-0.03,-0.042,0.006,0.062788648,0
42,-0.019,-0.269,-0.823,-0.014,-0.011,0.015,0.006,0.062788648,0
43,-1.175,0.663,-0.283,-0.035,-0.015,-0.001,0.004,0.062788648,0
44,-0.415,1.042,-0.045,-0.077,-0.06,-0.063,0.004,0.062788648,0
45,-0.63,1.151,0.234,-0.087,-0.091,-0.083,0.004,0.062788648,0
46,0.134,0.316,0.876,-0.019,-0.015,0.01,0.005,0.062788648,0
47,-0.101,1.225,-0.911,-0.052,-0.034,-0.035,0.006,0.062788648,0
48,0.837,2.297,-1.676,-0.057,-0.055,-0.021,0.003,0.062788648,0
49,1.804,-0.539,0.287,-0.013,0.005,-0.013,0.004,0.062788648,0
50,0.905,1.21,2.189,0.005,0.042,0.034,0.002,0.062788648,0
51,0.677,-0.659,0.358,-0.042,-0.038,-0.036,0.002,0.062788648,0
52,1.466,1.926,-0.297,-0.057,-0.048,-0.049,0,0.062788648,0
53,1.705,-0.236,0.993,-0.043,-0.028,-0.018,0,0.062788648,0
54,0.992,-1.027,-0.512,-0.046,-0.044,-0.036,0,0.062788648,0
55,1.083,0.806,-1.153,-0.028,-0.034,-0.001,0.001,0.062788648,0
56,1.339,0.676,2.214,-0.027,-0.025,-0.011,0,0.062788648,0
57,0.595,-0.099,1.655,-0.064,-0.054,-0.046,-0.001,0.062788648,0
58,-0.125,0.452,1.221,-0.049,-0.054,-0.048,-0.002,0.062788648,0
59,-0.533,2.199,1.338,-0.05,-0.042,-0.033,-0.001,0.062788648,0
60,0.404,1.806,1.574,-0.011,-0.017,-0.009,-0.001,0.062788648,0
61,-0.515,-2.474,1.279,0.011,0.006,0.005,0.001,0.062788648,0
62,-0.671,0.466,0.19,0.025,0.002,0.025,-0.002,0.062788648,0
63,0.412,1.456,-0.246,0.014,0.036,0.013,-0.001,0.062788648,0
64,0.735,-0.341,0.441,0.056,0.099,0.088,0.001,0.062788648,0
65,0.003,-0.734,-0.705,0.026,0.044,0.049,-0.001,0.062788648,0
66,0.985,1.612,-0.372,0.013,0.009,0.015,0.002,0.062788648,0
67,1.342,2.297,0.828,0.102,0.101,0.102,0.001,0.062788648,0
68,1.361,0.232,0.853,0.06,0.066,0.049,0.003,0.062788648,0
69,0.747,0.201,1.459,-0.02,0.011,-0.005,0,0.062788648,0
70,0.731,1.685,-1.199,-0.011,0.022,-0.011,-0.001,0.062788648,0
71,1.31,1.855,1.462,0.098,0.095,0.085,-0.002,0.062788648,0
72,0.645,0.092,-0.994,0.046,0.042,0.042,-0.002,0.062788648,0
73,0.335,0.993,-0.784,0.078,0.082,0.094,-0.001,0.062788648,0
74,1.249,4.381,-1.526,0.11,0.117,0.103,-0.002,0.062788648,0
75,1.097,1.109,-0.529,0.112,0.131,0.116,-0.001,0.062788648,0
76,-0.109,0.861,-0.463,0.062,0.078,0.08,-0.002,0.062788648,0
77,-0.086,0.581,-0.435,0.117,0.114,0.108,-0.001,0.062788648,0
78,0.683,1.221,0.413,0.089,0.095,0.083,-0.001,0.062788648,0
79,-0.128,0.186,0.624,0.072,0.072,0.071,-0.002,0.062788648,0
80,-0.64,1.097,-0.188,0.078,0.079,0.091,-0.003,0.062788648,0
81,-0.211,0.581,-1.614,-0.15,-0.125,-0.137,-0.002,0.062788648,0
82,0.269,1.578,0.095,-0.015,0.007,0.01,-0.001,0.062788648,0
83,-0.093,0.051,0.948,0.041,0.042,0.052,-0.003,0.062788648,0
84,0.404,1.534,-1.129,0.101,0.11,0.098,-0.002,0.062788648,0
