time,tool_wear,ACTION_CODE
0,0,0
1,0.085209797,0
2,0.110856459,0
3,0.131002007,0
4,0.148833167,0
5,0.165483347,0
6,0.181503045,0
7,0.197208115,0
8,0.212800644,0
9,0.228420647,0
10,0.24417138,0
11,0.260132995,0
12,0.276370462,0
13,0.292938443,0
14,0.309884417,0
15,0.327250782,0
16,0.345076306,0
17,0.363397152,0
18,0.382247636,0
19,0.40166079,0
20,0.421668788,0
21,0.442303287,0
22,0.463595686,0
23,0.485577345,0
24,0.508279762,0
25,0.53173472,0
26,0.555974417,0
27,0.581031574,0
28,0.60693953,0
29,0.633732338,0
30,0.661444833,0
31,0.690112717,0
32,0.71977262,0
33,0.750462172,0
34,0.782220059,0
35,0.815086091,0
36,0.849101259,0
37,0.884307794,0
38,0.920749224,0
39,0.958470438,0
40,0.997517739,0
41,1.037938904,0
42,1.079783249,0
43,1.123101684,0
44,1.167946776,0
45,1.214372817,0
46,1.262435882,0
47,1.312193898,0
48,1.363706714,0
49,1.417036166,0
50,1.47224615,0
51,1.529402698,0
52,1.58857405,0
53,1.649830734,0
54,1.713245642,0
55,1.778894119,0
56,1.846854043,0
57,1.917205914,0
58,1.990032944,0
59,2.065421152,0
60,2.143459456,0
61,2.224239779,0
62,2.307857144,0
63,2.394409787,0
64,2.483999259,0
65,2.576730546,0
66,2.672712179,0
67,2.77205636,0
68,2.874879081,0
69,2.981300257,0
70,3.091443857,0
71,3.205438038,0
72,3.323415291,0
73,3.445512586,0
74,3.57187152,0
75,3.702638475,0
76,3.837964783,0
77,3.978006886,0
78,4.122926511,1
79,4.272890848,1
80,4.428072735,1
81,4.588650843,1
82,4.754809879,1
83,4.926740783,1
84,5.104640937,1
85,5.288714387,1
86,5.479172061,1
87,5.676232002,1
88,5.880119606,1
89,6.091067868,1
90,6.30931764,1
91,6.535117889,1
92,6.768725972,1
93,7.010407917,1
94,7.260438712,1
95,7.519102607,1
96,7.78669342,1
97,8.063514861,1
98,8.349880863,1
99,8.646115919,1
100,8.95255544,1
101,9.26954612,1
102,9.597446309,1
103,9.936626406,1
104,10.28746926,1
105,10.65037059,1
106,11.0257394,1
107,11.41399845,1
108,11.81558468,1
109,12.23094972,1
110,12.66056036,1
111,13.10489904,1
112,13.56446441,1
113,14.03977185,1
114,14.53135402,1
115,15.03976144,1
116,15.56556311,1
117,16.1093471,1
118,16.67172117,1
119,17.25331348,1
120,17.85477322,1
