,Unnamed: 0,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/V8-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.7587425810904072,0.965,0.8487267985667402,0.7922046283689429,0.0424688916880922,0.0411636301174282,0.0329378067944923,0.0382018705895813,0.4839733872191134,0.45,0.463551684755515,0.4748210832306941,0.0955833531049389,0.1105541596785133,0.0944891396866588,0.0921527507635802,0.275,0.03,0.0527056277056276,0.0982142857142856,0.3809709816887487,0.0483045891539647,0.0818673646047698,0.1431118210465341,0.5261111111111111,0.2299999999999999,0.3128115763546797,0.4064856711915535,0.1674272767625252,0.0888194172964948,0.1056292307154401,0.1213028842993569,models/0_0_Dasic_NoNBD__RF_Model_06-Jul-2023_08-50_0.76_0.97_0.79.mdl,47.921621561050415,12.067184448242188,0.898841142654419,10.551599740982056
1,1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/V8-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.746721290405501,0.6799999999999999,0.7065145920467353,0.7287306781085846,0.0793939261667096,0.0977525219907678,0.0623611441243588,0.0647236533042073,0.4295032255326372,0.29,0.3431221532896596,0.3886291340238708,0.1545753918949608,0.1370320319406297,0.1473899039470751,0.1523874465732533,0.5,0.03,0.0562770562770562,0.119047619047619,0.4714045207910317,0.0258198889747161,0.0484642297943626,0.1030982623552902,0.5212121212121212,0.2199999999999999,0.3033527380624154,0.4005171911421911,0.116729396270494,0.0823272602348564,0.0901566099697551,0.0968184629436021,models/0_1_Dasic_LowNBD__RF_Model_06-Jul-2023_08-51_0.75_0.68_0.73.mdl,44.918416261672974,11.629127979278564,0.8845455646514893,10.573102712631226
2,2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/V8-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.9223762469414644,0.99,0.9545656753909731,0.934896214896215,0.0400962276590636,0.0210818510677892,0.0256135854350566,0.0340695359884989,0.5025641025641026,1.0,0.6689265536723163,0.5580808080808082,0.0054056028378946,0.0,0.0047642601283139,0.0053236997645931,0.5000674763832659,0.985,0.663315799727255,0.5546673126614987,0.0122471649368969,0.0241522945769824,0.0151876862383759,0.013193098684848,0.5149855699855699,0.245,0.3293700010593781,0.4183547457444516,0.1637496114083142,0.1012422836565829,0.1236690332240415,0.1431187163181982,models/0_2_Dasic_HighNBD__RF_Model_06-Jul-2023_08-52_0.92_0.99_0.93.mdl,45.45194816589356,11.688227891921995,0.9015135765075684,10.83672833442688
3,3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/V8-R1,,100,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543782090028994,0.49,0.5104449208268207,0.5283985734001718,0.1352318433537493,0.1197218999737864,0.1083111995365782,0.1177457186165258,0.2114616085668716,0.21,0.2105527185694065,0.2110550600767991,0.0236323494491469,0.0316227766016837,0.0272170598514574,0.0249501529220018,0.3688095238095238,0.1,0.1544534869317477,0.2335542929292929,0.2162940863066464,0.0623609564462323,0.092373030166319,0.1353770873108022,models/0_3_PHM_C01_SS_NoNBD__RF_Model_06-Jul-2023_08-53_0.00_0.00_0.00.mdl,140.1689474582672,11.491568326950071,0.9137909412384032,10.587856769561768
4,4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/V8-R1,,100,70,0,0.9881944444444444,0.765,0.8607603643207359,0.9323771591363124,0.0249420624945388,0.0625832778517286,0.0388853234532537,0.0227089450659892,0.490177177483679,0.505,0.4958148527300728,0.4920491574681616,0.0783927373908994,0.1141392911217595,0.0913502589621522,0.0824201947636643,0.5,0.985,0.6632573543736606,0.5546012450082217,0.0085470085470085,0.0241522945769824,0.0119845088231299,0.0095356990065593,0.2652380952380952,0.09,0.1328221408221407,0.1880827505827505,0.1854867348307849,0.0614636297152859,0.088459417258968,0.1254406820449769,models/0_4_PHM_C01_SS_LowNBD__RF_Model_06-Jul-2023_08-56_0.99_0.76_0.93.mdl,133.22658157348633,11.572740316390991,0.8660073280334473,10.790423154830933
5,5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/V8-R1,,100,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053306342780026,0.985,0.6678940190921488,0.5598279304674654,0.015355552042515,0.0241522945769824,0.0173969536109564,0.0160871962439516,0.4634919356006312,0.525,0.4917662047275601,0.4742928169860873,0.1053937692557796,0.1086533734200441,0.1058582647151298,0.1054176295001554,models/0_5_PHM_C01_SS_HighNBD__RF_Model_06-Jul-2023_08-59_0.00_0.00_0.00.mdl,132.01295852661133,12.082735776901243,0.8661608695983887,10.859819650650024
6,6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/V8-R1,,100,70,0,0.6256001667529182,1.0,0.7695121912657984,0.6761619919514656,0.0202521696856067,0.0,0.0154278683909178,0.0189726415956004,0.4574033736301538,0.445,0.4483699810093218,0.4530507738762986,0.0806287059256072,0.1141392911217595,0.0915560073773248,0.0830699711522787,0.4932316932316932,0.955,0.6503437143413765,0.5459773316586987,0.0196310333440334,0.0598609499868932,0.0301806209401808,0.022823715289319,0.4887942694560341,0.395,0.4337214640155816,0.4642119503303713,0.1108481179066997,0.1189070598782464,0.1072450828945381,0.1063780977071104,models/0_6_PHM_C04_SS_NoNBD__RF_Model_06-Jul-2023_09-01_0.63_1.00_0.68.mdl,144.77494883537292,11.430362939834597,0.8974654674530029,10.831354856491089
7,7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/V8-R1,,100,70,0,0.7346241561758803,0.985,0.8406641792197493,0.7735077187665439,0.0380685965457858,0.0241522945769824,0.0198808306845357,0.0316483311157811,0.455864862691488,0.415,0.4291200943639968,0.4427127039627039,0.1073219281169786,0.0747217059048663,0.0680161750569695,0.0817226325934617,0.3166666666666666,0.025,0.0455298324863542,0.0907738095238095,0.4335469558917038,0.0353553390593273,0.0631762460709851,0.1219975936479203,0.5186363636363637,0.1699999999999999,0.2508336549949452,0.3582859848484848,0.2464564608016467,0.0586893895388633,0.0891686537328972,0.141296082023821,models/0_7_PHM_C04_SS_LowNBD__RF_Model_06-Jul-2023_09-04_0.73_0.99_0.77.mdl,146.42575979232788,11.936469078063965,0.8662805557250977,10.5712571144104
8,8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/V8-R1,,100,70,0,0.6403246753246753,0.345,0.4419638635209367,0.5384027624207578,0.0771544446862458,0.1116791037850063,0.1095046763153451,0.0958148036311721,0.5480859437596549,0.555,0.5493218941116806,0.5480758631854354,0.062504121789896,0.0864420165325996,0.0655543078930926,0.0613575481969509,0.1121628371628371,0.0699999999999999,0.0860549278362371,0.0999553878568971,0.0459401864453181,0.034960294939005,0.0399318258183748,0.043431358165309,0.4965243375998525,0.5,0.4936022811561666,0.494137321012321,0.0586232480372516,0.1333333333333333,0.090271582281037,0.069088755940615,models/0_8_PHM_C04_SS_HighNBD__RF_Model_06-Jul-2023_09-07_0.64_0.34_0.54.mdl,132.11135053634644,11.939982891082764,0.8683481216430664,10.700602293014526
9,9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/V8-R1,,100,70,0,0.7872501990762861,0.985,0.8743817344322906,0.8198081743062277,0.0478872691902426,0.0241522945769824,0.0329851359860267,0.0424237318271416,0.4978558160106147,0.475,0.4819410644111429,0.4901091841538907,0.0744646036030584,0.1419115530493866,0.1092024646126297,0.0884020708442095,0.2833333333333333,0.025,0.0454921889704498,0.0900297619047618,0.416110740246089,0.0353553390593273,0.0643416686602805,0.1274545825433517,0.6023809523809524,0.175,0.265342612299134,0.3909632034632034,0.1595415768357234,0.067700320038633,0.0931395708070971,0.1212914120426831,models/0_9_PHM_C06_SS_NoNBD__RF_Model_06-Jul-2023_09-10_0.79_0.99_0.82.mdl,148.2464370727539,11.543647289276125,0.9113805294036864,10.74355697631836
