,Round,expt_n,environment,environment_info,data_file,Model_name,environment.1,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,SS,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1.0,0.77,0.868217733,0.942119586,0.0,0.075277265,0.048086815,0.022769648,0.520252345,0.695,0.593376342,0.546946371,0.090746712,0.13426756,0.10247528,0.094021583,0.505264982,0.98,0.666565083,0.55939372,0.009203267,0.034960295,0.012270365,0.009629559,0.438015873,0.105,0.165062114,0.257368326,0.242103952,0.049721446,0.072139936,0.112022502,models/0_0_Dasic_NoNBD__RF_Model_28-Jun-2023_12-16.mdl,49.70576191,13.45518899,1.0104599,12.96018028
1,0,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,SS,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1.0,0.635,0.775398605,0.895567273,0.0,0.05797509,0.042642692,0.022539314,0.568743756,0.29,0.378766311,0.470392628,0.148425605,0.117378779,0.128154851,0.135486511,0.506477733,0.99,0.670095461,0.561296101,0.012576298,0.021081851,0.015168348,0.013472046,0.175,0.025,0.043511199,0.078621032,0.19424593,0.026352314,0.045899616,0.083404902,models/0_1_Dasic_LowNBD__RF_Model_28-Jun-2023_12-17.mdl,49.0077939,13.39702415,1.01928544,11.67935848
2,0,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,SS,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.955133668,0.91,0.930509803,0.944723881,0.042034856,0.056764621,0.032594217,0.032411121,0.484089907,0.525,0.501111561,0.490244927,0.06088484,0.116069902,0.078017223,0.065343004,0.35,0.03,0.054225485,0.10639881,0.388491861,0.025819889,0.04676814,0.093528624,0.422896825,0.15,0.219041233,0.305824037,0.19031556,0.08819171,0.118818688,0.151717273,models/0_2_Dasic_HighNBD__RF_Model_28-Jun-2023_12-18.mdl,48.78949952,12.95399094,0.972429991,11.3696506
3,0,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,SS,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.992857143,0.57,0.72035149,0.860302564,0.022587698,0.085634884,0.068236431,0.03895646,0.546543362,0.43,0.475526008,0.513566206,0.097189948,0.088819417,0.076350092,0.080070483,0.225,0.03,0.052602108,0.096478175,0.20805537,0.025819889,0.04532336,0.08381689,0.516873543,0.375,0.432575315,0.478660283,0.083112425,0.082495791,0.079150171,0.078769113,models/0_3_PHM_C01_SS_NoNBD__RF_Model_28-Jun-2023_12-20.mdl,148.2855339,14.40983224,1.086107492,14.10984898
4,0,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,SS,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.909306723,0.675,0.772606647,0.848398909,0.046504112,0.058925565,0.038628947,0.033871438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769343305,0.98,0.861702782,0.80375533,0.028035231,0.025819889,0.022296038,0.025550406,0.599606227,0.425,0.495863243,0.552715749,0.139465574,0.106066017,0.117632727,0.128710615,models/0_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_12-23.mdl,159.4974172,13.48565626,1.104962587,12.73389053
5,0,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,SS,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.939416972,0.675,0.782741658,0.868715694,0.06055419,0.085796918,0.06463409,0.054273352,0.506589327,0.795,0.617986823,0.545841764,0.049597155,0.09846037,0.062370075,0.053339868,0.266666667,0.025,0.045096932,0.087797619,0.438853726,0.042491829,0.076038411,0.14587888,0.413882506,0.16,0.225996023,0.305941801,0.149761735,0.073786479,0.096347895,0.120821255,models/0_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_12-26.mdl,67.66081882,18.41488051,1.264644861,11.72379613
6,0,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,SS,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.5,1.0,0.666666667,0.555555556,0.0,0.0,0.0,0.0,0.428556518,0.335,0.372231437,0.402715158,0.075370133,0.097325342,0.081352415,0.074049237,0.5,0.985,0.663257354,0.554601245,0.008547009,0.024152295,0.011984509,0.009535699,0.41547619,0.085,0.139412238,0.229166667,0.325660462,0.074721706,0.118463493,0.187306999,models/0_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_12-27.mdl,164.8852267,13.75899291,1.216297388,12.35027909
7,0,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,SS,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.618073285,0.985,0.759316113,0.667729452,0.020451455,0.024152295,0.018085873,0.019595342,0.523310105,0.52,0.517009055,0.519557217,0.07688676,0.115950181,0.08712418,0.077894683,0.616666667,0.055,0.099322417,0.194196429,0.458459579,0.049721446,0.087039232,0.159828864,0.266666667,0.04,0.068906456,0.122519841,0.207126132,0.031622777,0.053580126,0.093234031,models/0_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_12-31.mdl,144.1027489,13.95856762,1.074677229,12.4725318
8,0,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,SS,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.732020315,0.925,0.815640043,0.763022554,0.049644207,0.042491829,0.028897657,0.040946334,0.493257021,0.52,0.504165394,0.497099471,0.083334561,0.127366488,0.098753463,0.087801085,0.501353175,0.975,0.662068966,0.555256678,0.018237498,0.042491829,0.023876666,0.019940753,0.365833333,0.09,0.141852524,0.220456974,0.184610451,0.06992059,0.100033528,0.135782447,models/0_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_12-33.mdl,135.6539407,28.95335102,2.824549675,27.19143939
9,0,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,SS,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.848142292,0.995,0.915289104,0.873700055,0.034359055,0.015811388,0.020181794,0.028922261,0.502953909,0.45,0.471449666,0.488658811,0.100148041,0.11785113,0.105886793,0.100720835,0.066666667,0.01,0.017391304,0.03125,0.210818511,0.031622777,0.054996133,0.098821177,0.512287157,0.195,0.277975137,0.37860733,0.177259263,0.0831665,0.108803055,0.137293581,models/0_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_12-37.mdl,185.8955991,27.12025261,1.42361784,14.10687947
