,RF_Pr,RF_Rc,RF_F1,RF_F05,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
environment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHM C01 MS NBD,0.5354432875,0.617,0.5216670657,0.5071789413000001,0.350188649,0.4415,0.3629220589,0.34215912660000003,0.4900772837,0.4375,0.3410050273,0.3473212449,0.5032901725000001,0.38849999999999996,0.412715543,0.45173707400000007,0.0318922845,0.0422209838,0.0429415912,0.0466863738,0.070227789,0.063160466,0.053361975699999994,0.055783827499999994,0.1873992272,0.0383618847,0.0438855582,0.0664648557,0.1200288018,0.10694398229999999,0.1031425483,0.1084095625
PHM C01 SS HBD,0.766099606,0.506,0.5527024306999999,0.6260570827999999,0.45447030120000004,0.658,0.5228275196000001,0.47690540489999994,0.36348871159999996,0.311,0.23052215380000002,0.2288114694,0.4817175968,0.362,0.3813071055,0.42077444,0.12987874719999998,0.0780940358,0.0772315031,0.0847932007,0.0368567636,0.061840800200000004,0.0444467136,0.0385447628,0.3030480972,0.032657026900000004,0.0463007514,0.08647224490000001,0.1141616183,0.08813683180000001,0.0864359914,0.0939675982
PHM C01 SS LBD,0.4076651894,0.30100000000000005,0.3184066688,0.344435477,0.37207642659999995,0.3675,0.34989345,0.35643707410000003,0.40892649470000003,0.4085,0.323991064,0.3149709405,0.4231865206,0.284,0.31464184289999997,0.3534679787,0.06462287419999999,0.0320407194,0.0289755685,0.030384294200000002,0.0576703761,0.0602710821,0.049759039399999996,0.048512683099999995,0.2442984204,0.0350601923,0.0488751214,0.08543374290000001,0.1810028977,0.079292431,0.0870923758,0.109806447
PHM C01 SS NBD,0.7964198763,0.7595,0.7527905727,0.7711466598000001,0.5579414828,0.5375,0.528090344,0.5387295988,0.4857396479,0.5065,0.4089589067,0.4057765807,0.5235896028,0.48200000000000004,0.48029366490000003,0.4971897362,0.0270415711,0.047497702600000004,0.0388785567,0.032421024300000004,0.0951251749,0.10479072810000001,0.0915327259,0.0903108428,0.1648935096,0.031235665300000003,0.0347277106,0.057530373999999995,0.0950169555,0.0865368455,0.0779834796,0.08298189809999999
PHM C04 MS NBD,0.8078841344000001,0.2515,0.3429527404,0.47899594929999995,0.49481893909999997,0.5715,0.5100936764,0.49373045609999994,0.4784530895,0.541,0.4253735296,0.40605903720000003,0.47314472539999997,0.4385,0.4307425208,0.4448251522000001,0.18915139990000002,0.08579494359999999,0.1123563573,0.1450719329,0.0863994843,0.09915652550000001,0.0785987007,0.0773850478,0.1724438596,0.0326850662,0.0364869105,0.05798420019999999,0.11689201549999999,0.1017241562,0.0944678184,0.0990032926
PHM C04 SS HBD,0.6495564921,0.8365,0.7061693369,0.6634707607999999,0.41321142699999996,0.4465,0.3962291537,0.3892048317,0.40492533010000004,0.5055,0.3674805728,0.34035385809999996,0.457324453,0.316,0.3565323118,0.40163807279999997,0.041079215,0.052145531,0.0447933165,0.0440887715,0.1027709647,0.08307646319999999,0.0664138923,0.06748565009999999,0.18774336149999998,0.04214174080000001,0.0446653828,0.0689457533,0.1171810422,0.0910679375,0.0949783617,0.10352948349999999
PHM C04 SS LBD,0.6904009785,0.9055,0.77332693,0.7183521029000001,0.417584449,0.4255,0.414062856,0.414252399,0.4067657547,0.47850000000000004,0.3472862782,0.3231819028,0.4070271979,0.21150000000000002,0.24254855250000001,0.29593603339999996,0.0430890092,0.050579451500000004,0.045672383999999996,0.0455086049,0.058815782,0.0883472171,0.0681282906,0.060702805400000004,0.19470073999999998,0.0350545797,0.0424017855,0.0702529691,0.2056445327,0.07527540419999999,0.08830383690000002,0.11677678350000001
PHM C04 SS NBD,0.7007146914,0.9865,0.8126000072,0.7405563435,0.4979400493,0.52,0.4952239757,0.4933968696,0.42270971059999995,0.502,0.3581776985,0.3272096598,0.4551981765,0.221,0.2668417382,0.3322871263,0.034240003199999994,0.0189211007,0.026365061099999997,0.0313786982,0.07588936310000001,0.0942286964,0.0786368352,0.07481064579999999,0.23356409339999998,0.0320875729,0.0387087772,0.0681121505,0.20674247650000002,0.0832026229,0.1025682773,0.1338924302
PHM C06 MS NBD,0.6926699134,0.4345,0.492623948,0.5735649523,0.4035719084,0.6405000000000001,0.4854458404,0.4310166881,0.49153692969999996,0.46900000000000003,0.36616913749999996,0.3579777556,0.49843764290000003,0.394,0.4225547938,0.45828527890000004,0.0674049751,0.038864821,0.037503394499999995,0.0371366643,0.0346502798,0.0605951821,0.0423739619,0.0368821213,0.21403382619999997,0.028806948399999997,0.0338688193,0.0601612965,0.10931943150000001,0.1028437965,0.0946417039,0.0976360879
PHM C06 SS HBD,0.7283218622,0.6705,0.6604839979999999,0.6846856176,0.40590271600000005,0.393,0.38998407820000003,0.3957174376,0.4660865703,0.783,0.5453703382999999,0.4698764275,0.4234614144,0.28,0.29680633949999996,0.33769425909999995,0.0728114943,0.0690103759,0.0585456011,0.0598781287,0.0660299929,0.0802046721,0.0662478603,0.06385342349999999,0.094651831,0.0371283959,0.028230177099999997,0.0368508397,0.15710916660000002,0.0710503817,0.0811821435,0.10456324700000001
PHM C06 SS LBD,0.3878802689,0.24300000000000002,0.2911612864,0.3389367587,0.30471471920000004,0.3205,0.3106987664,0.3066953163,0.436332841,0.783,0.5336896727,0.4534315168,0.3678507796,0.33449999999999996,0.3062210699,0.3191953138,0.0176532467,0.029306838499999998,0.0231579637,0.0178939335,0.045516558400000004,0.0661493823,0.0514709335,0.0469874443,0.0547302407,0.0281058778,0.0196030764,0.0234348443,0.1376233111,0.0613262333,0.0689903983,0.0892251694
PHM C06 SS NBD,0.5504188746,0.5745,0.5085035629,0.5053196521000001,0.5096468009999999,0.49450000000000005,0.4788200419,0.4870590311,0.4247160001,0.40449999999999997,0.29317105210000005,0.2799616233,0.4367578165,0.28300000000000003,0.319420737,0.36790270410000003,0.0129304723,0.0169745223,0.0232520531,0.025895573699999997,0.09387721,0.10961931330000001,0.0946116685,0.09110350240000001,0.25703724569999997,0.0301786028,0.038646192600000004,0.0688675634,0.1482193959,0.0892609111,0.0931966391,0.1119813406
Simulated HBD,0.8916310153,0.8310000000000001,0.8397797390000001,0.8651763227,0.5613945325999999,0.5429999999999999,0.5111226355999999,0.506294283,0.4640096332,0.43899999999999995,0.3562421404,0.3577978903,0.47131070490000004,0.29300000000000004,0.3245681957,0.37879464919999994,0.0359179191,0.05867582649999999,0.0432897694,0.037055131799999995,0.09581693150000001,0.11058614689999999,0.0846555247,0.07955236260000001,0.1827916804,0.0233561031,0.0319763967,0.0553319648,0.17542125879999998,0.089159321,0.10078851470000001,0.1255565279
Simulated LBD,0.9405512788999999,0.8955,0.9082950947,0.9247271236,0.5292580926999999,0.5309999999999999,0.51939184,0.5216710003999999,0.44907754339999995,0.6785,0.4781819767,0.42016360420000004,0.3728776812,0.13599999999999998,0.1869552928,0.2524290002,0.028369155299999997,0.0309247066,0.0257427014,0.026119988599999998,0.0824478033,0.11256875920000001,0.09305156,0.0850780058,0.1212374392,0.029048057199999998,0.0263731045,0.0398189968,0.2072995465,0.0713866091,0.0933734469,0.12306155290000001
Simulated NBD,0.8974867700999999,0.8805,0.8696825683,0.8819459841,0.316415034,0.3875,0.3397926708,0.3201049249,0.4993037697,0.713,0.5185860804,0.47291229079999997,0.4575908447,0.2375,0.28603744529999997,0.3492464267,0.0168640771,0.032866084899999995,0.025187272599999998,0.020951453199999998,0.0723635047,0.0619426282,0.0487784092,0.0485633756,0.1024929011,0.036532453199999995,0.0291486071,0.0410836148,0.17880885289999998,0.0789026229,0.0946382861,0.1211051947
