,RF_Pr,RF_Rc,RF_F1,RF_F05,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
environment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHM C01 MS NBD,0.808851089776349,0.73,0.6987131788938238,0.7407780653292301,0.49321356600213495,0.629,0.5172230345403639,0.48443065166185095,0.5282943869333188,0.2385,0.2587390666950592,0.320716572244445,0.48837291672596556,0.344,0.3946700694975967,0.4419273271381268,0.01856239152726232,0.04820785910018213,0.03907517477293016,0.0286368524998612,0.09248148729776036,0.06959539588203338,0.05481752023262017,0.05453612610924683,0.24067665693141427,0.03287619796894467,0.04470829390018861,0.07247170220101419,0.10947551599130496,0.10707158966293542,0.10140562719581225,0.10057727916933641
PHM C01 SS HBD,0.6760557399377751,0.549,0.5287949331381052,0.560655471759332,0.3375673277671604,0.345,0.33233641922725626,0.3310387104717506,0.5482649171419769,0.7955,0.5646285762158214,0.5046977179606407,0.42103747781037865,0.2945,0.3146592409502894,0.3521582847034661,0.14674842722912415,0.05702302162644581,0.067938844375535,0.08764422527012146,0.06091210374188816,0.07676936154374488,0.060476933195257966,0.05697886355637148,0.07714562769345579,0.03442268339376412,0.026006122095171703,0.03247673091851906,0.14431337359497134,0.08230670463689703,0.08566442938111693,0.09948181253170327
PHM C01 SS LBD,0.5375188681773351,0.329,0.36735339284034363,0.4196665369962872,0.3318012595214271,0.28049999999999997,0.2982178254376473,0.31516524153887826,0.3504360639787884,0.2995,0.2391274211797308,0.23910156810459995,0.5105915686074873,0.3805,0.3985262187087926,0.440490548865862,0.11478682837425883,0.04724402039974384,0.050962100765539566,0.0582783479206835,0.06443250622504347,0.060896568956104714,0.05449260533563745,0.05636185775135707,0.24801860520106223,0.03716476434367651,0.048198378762096185,0.08146336334717895,0.1309922387069231,0.08544251142765427,0.0860666474947487,0.09722901909216486
PHM C01 SS NBD,0.8922360749303552,0.9045,0.8815615095819773,0.883371900122189,0.505166784056184,0.557,0.524140069319503,0.5112888551868049,0.4588060100474288,0.5984999999999999,0.44491099071963625,0.4061136031800626,0.4687996848491842,0.365,0.3754556592950946,0.40887239997330943,0.027190210551869508,0.027898476067919637,0.02816713574160564,0.02750898106444678,0.06895549596141491,0.11171788843314515,0.08131515118361579,0.07161832102585465,0.1569327999493033,0.037712399834694675,0.04034912720892549,0.06120648896618715,0.11276377313888179,0.0816818718066625,0.07810076591914038,0.08513359666607893
PHM C04 MS NBD,0.7021222943722943,0.1795,0.27165732226804423,0.4064211482961483,0.4807594955275915,0.4255,0.3848578647810054,0.4035377253224038,0.3708897764160922,0.40449999999999997,0.28932105144295206,0.27061184939091915,0.4950000306935599,0.33999999999999997,0.3900810575183396,0.4408842319348055,0.2712193354122679,0.07161054384421692,0.10273333885810491,0.14727276371682202,0.1473122328847699,0.07682428665573922,0.08041566063996586,0.09697882617691157,0.22100868284407688,0.02986213121756861,0.036853055370069054,0.06552746209150626,0.12195160205167113,0.10566632435865617,0.1025071269049616,0.10817608490303457
PHM C04 SS HBD,0.6647015274174197,0.776,0.6950742715195547,0.6714863561782322,0.4103458784631099,0.4574999999999999,0.398692204917843,0.38578109807983013,0.2726181648681648,0.119,0.10225096053844981,0.12355442603262365,0.43320671217152384,0.2405,0.28767794497122123,0.34910711338836425,0.05623984215860349,0.06544889161592855,0.05429533193444623,0.053528596383218316,0.08144469354781357,0.06523109977435587,0.05369755564726075,0.0565573633749772,0.3164023108051607,0.030839547358547697,0.052096208286555354,0.09754823761931894,0.14147349293987604,0.08041659911111904,0.09303427253899832,0.11156707543474838
PHM C04 SS LBD,0.7069207467427487,0.898,0.7848627635983838,0.7352361790231424,0.4643412099973225,0.48600000000000004,0.46948004274325,0.4651867202038744,0.3858481659797449,0.591,0.4095911048930046,0.358658080276061,0.4525335323829875,0.3435,0.34902570779823083,0.37899229578406446,0.047076629477564455,0.04523955978935162,0.0395436020800224,0.04340506473664143,0.07650536261057389,0.0998907917397863,0.08023193238270691,0.07594271664723398,0.15647112448422137,0.0381020154423304,0.0365854701264572,0.05582708034971182,0.1518082191991787,0.07955107947342319,0.07755815157905063,0.09240704314205339
PHM C04 SS NBD,0.749746452994325,0.9835,0.8449577075236986,0.7842559521742938,0.43696814826694874,0.489,0.44587589212323014,0.4360799247609183,0.3960412647537648,0.46749999999999997,0.3812058253793346,0.3599245840691566,0.5030151524213038,0.442,0.4473251346362683,0.4717547050175419,0.036482809786370966,0.02228653414163814,0.026242575250182358,0.03251547454669496,0.07622470115913196,0.0896027041234789,0.07556718659866296,0.07242603292279935,0.1548771766742111,0.03382797817676023,0.03403445536487621,0.05020595436516802,0.10101363849532967,0.09392934806939464,0.0889320327849246,0.09298752274922645
PHM C06 MS NBD,0.7454066930231791,0.285,0.3854387438166177,0.5175547124957796,0.5111431853388879,0.731,0.5807840176788764,0.5329934361478993,0.48005594407962826,0.618,0.4807826818033424,0.44835236550513435,0.5000977014341503,0.4285,0.44744490847501295,0.4728919616113686,0.1661629917757661,0.08625690327607574,0.1070918742514491,0.1284762617020934,0.04102986905345863,0.07001018176474419,0.051920020156652036,0.04413995927506549,0.103576004963149,0.03103791928862723,0.024601697627875698,0.03326922607368281,0.09046389527673038,0.1017683223258011,0.09030944018022348,0.08814476290046616
PHM C06 SS HBD,0.7410896199702128,0.875,0.7884771859598879,0.7555089981035896,0.4363377671907469,0.438,0.4285870986024025,0.429993261221626,0.4471216473249141,0.5635,0.4053752159582856,0.36858178688141924,0.47680393848609626,0.26799999999999996,0.32263126442138795,0.38572220979931005,0.04649569423453451,0.051186814459910156,0.04190729734261966,0.04186784272661726,0.07368533287968027,0.08333743731379425,0.07118594247840754,0.0701461790073524,0.19083087153729672,0.032689037074271586,0.03849626132615341,0.06167212090089663,0.15010258041356478,0.10321191408298351,0.11047439453524799,0.1222618930527171
PHM C06 SS LBD,0.7250737211433353,0.7140000000000001,0.6654631289267264,0.6765636295539939,0.44951524698815676,0.446,0.4423445356788214,0.44500930943071826,0.3991098627545996,0.5045,0.3567927458386702,0.3246681016012411,0.4521482652929147,0.2855,0.32373018574678825,0.37579888583682186,0.02732822489483237,0.04812112118033508,0.038779241118968875,0.03593866242601808,0.07355042516701446,0.1107094917583608,0.0867149692623079,0.07658428527335102,0.18880012269668126,0.03356355555144727,0.04004109910210492,0.06465009927582036,0.16128959020399686,0.0850631235560329,0.10294589253070059,0.12663196789325068
PHM C06 SS NBD,0.7382944178530145,0.7495,0.7053341913144793,0.7145052691826167,0.49958037715762843,0.4875,0.485257764099899,0.49106848012911364,0.415292546042546,0.5269999999999999,0.38557630796766373,0.3585845642568026,0.48862132873453357,0.39249999999999996,0.4103382909563221,0.4374936431699755,0.01466634889655804,0.02704390287923848,0.029776356226355338,0.02408317472504666,0.07904056738509366,0.10294359893670899,0.08198312157153397,0.0774480651311197,0.171283942301786,0.034880014533795564,0.04173756169699924,0.0663477089919165,0.13032257830825944,0.10012979342745568,0.09365060570162839,0.10026223058276229
Simulated HBD,0.9588484322321313,0.7275,0.8059514956809691,0.8799107556056528,0.499786752989536,0.42300000000000004,0.44350544963871547,0.4677346556769993,0.4919268195886482,0.472,0.3839963940580934,0.37766208851840155,0.37392380153722526,0.193,0.22890582485196204,0.2781096679227623,0.031776823147046815,0.07403912045993623,0.05349643350011106,0.037672099817749286,0.09396859018733228,0.1063022676993349,0.0918221874130912,0.08848214190157314,0.20656445763527778,0.03650891814721197,0.04481611978390404,0.07340028086090958,0.1905521142689882,0.07700588008117296,0.09006310026484224,0.11568318471613455
Simulated LBD,0.9175407555505268,0.8720000000000001,0.8801874410195956,0.8980876393908414,0.48830989078935294,0.368,0.3853810028689059,0.4113417395320117,0.4686823442876074,0.3535,0.30256742193186476,0.32885577728583254,0.31629323944029825,0.09399999999999999,0.13822112846356213,0.20126969113617715,0.0350476748149071,0.03649164685680316,0.032657628558281124,0.03337935538750983,0.15667473145466812,0.07560091767955465,0.0783921675052501,0.09189456584691867,0.23892789906077994,0.034859909542889374,0.0446008329241238,0.07756168293322149,0.20821964680594207,0.055581966143520366,0.08132219352759104,0.12089240372030323
Simulated NBD,0.9227326518226068,0.869,0.8775539006220775,0.8989024893351372,0.4305816105452129,0.3685,0.3689894405517173,0.38477395995925723,0.4356283840533268,0.417,0.30643253213778177,0.2926633287794709,0.4098515797927562,0.1335,0.19280094344860987,0.27346781234116757,0.017850452983057617,0.029462620679978867,0.027556001976629864,0.02371258019801942,0.11313728001335052,0.08593597557376968,0.07610245301557313,0.07782601428357835,0.24177667348759307,0.034722149103726556,0.03927682547424226,0.06655598680542127,0.21429569128915565,0.07355897009743276,0.09962338035255597,0.13629664292801297
