,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,7,0.9791176470588235,0.665,0.7880376069346657,0.8908058917346844,0.034137580884394274,0.09732534213770955,0.07137410725194046,0.04338674343950327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49459064327485375,0.9650000000000001,0.6538566975592107,0.5479679810011631,0.014255511635932146,0.05296749527356903,0.02425051825426911,0.017234082707580558,0.6693223443223444,0.43,0.518478835978836,0.5967436974789916,0.08672156337149713,0.10852547064066469,0.10447439483410359,0.09497580364232583,models/7_0_Dasic_NoNBD__RF_Model_05-Jul-2023_17-39_0.98_0.66_0.89.mdl,146.4669806957245,29.499690294265747,2.116748571395874,43.57500696182251
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,7,0.8286682882335057,1.0,0.9057027008493137,0.8577417000665054,0.045445428009720214,0.0,0.027067756126083614,0.03890777670802326,0.3782323232323232,0.13999999999999999,0.20156791813632746,0.2774914321789322,0.19119314750425287,0.08096638534327412,0.11060738462077511,0.14555454614931673,0.5,0.9800000000000001,0.6621274108708357,0.5542855884425651,0.01046790488368881,0.02581988897471614,0.014303177178848301,0.011642189074094261,0.6331043303102126,0.45999999999999996,0.5301750289315205,0.5864335062521645,0.06466755882232025,0.0699205898780101,0.05893035074955592,0.05654607768177286,models/7_1_Dasic_LowNBD__RF_Model_05-Jul-2023_17-43_0.83_1.00_0.86.mdl,203.1379690170288,34.353965282440186,4.464035749435425,45.36577343940735
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,7,0.8544306418219462,0.985,0.9144238757398144,0.8773249021093849,0.03472908920518228,0.024152294576982435,0.017440562116835246,0.02752045985530216,0.41126234999100275,0.6,0.48703154708280677,0.438413664068906,0.05245783314132419,0.1178511301977579,0.0736522117851924,0.05925093178968984,0.5040619740619741,0.97,0.6631556948798327,0.5575430383569918,0.008911895884305266,0.03496029493900501,0.01082155074323911,0.008793631392355691,0.643419080919081,0.23500000000000001,0.33431503546849095,0.4602342102342102,0.18212618390287716,0.10554093465991708,0.12055285994269749,0.1344343850352611,models/7_2_Dasic_HighNBD__RF_Model_05-Jul-2023_17-48_0.85_0.98_0.88.mdl,222.55393433570862,36.0338237285614,5.927494287490845,45.07526206970215
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5862621280396216,0.625,0.6029176298428769,0.592323817486861,0.08264663976658448,0.12304019216861166,0.09540905261829212,0.08563121646701854,0.36666666666666664,0.035,0.06252587991718425,0.11979166666666666,0.4288946459026396,0.04116363011742823,0.0723407546359514,0.13459060724523822,0.3275,0.08,0.12345723541825489,0.18878933566433562,0.1603454026411364,0.053748384988657,0.0746258072035055,0.09766999372939775,models/7_3_PHM_C01_SS_NoNBD__RF_Model_05-Jul-2023_17-53_0.00_0.00_0.00.mdl,693.0646507740021,34.32810592651367,5.1559131145477295,40.98603653907776
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5421156233799255,0.5900000000000001,0.5634040028627603,0.5500749129403552,0.058562708658676785,0.08096638534327415,0.06287974917399666,0.058666388121327774,0.5025641025641026,0.99,0.6666666666666666,0.5574494949494949,0.010112956894187383,0.02108185106778922,0.01304746371050003,0.011055492875895346,0.6053144078144078,0.35,0.4392376861925543,0.5234277482922993,0.17136345811191123,0.12018504251546631,0.13654084837400154,0.152664066042158,models/7_4_PHM_C01_SS_LowNBD__RF_Model_05-Jul-2023_18-06_0.00_0.00_0.00.mdl,529.1407330036163,42.84365248680115,5.199711561203003,49.36101317405701
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,7,0.8680128205128206,0.625,0.7233479532163744,0.8024479356960177,0.08149977132204764,0.11365151414154878,0.09358932421900787,0.08149549591923592,0.5211213797567718,0.6799999999999999,0.5880295418372039,0.5456220886605136,0.05593634653823721,0.12516655570345725,0.07914451069164538,0.06312239394415257,0.4987179487179487,0.99,0.6632573543736606,0.5536542753112521,0.004054202128421035,0.021081851067789224,0.007649202382815537,0.004981986841579756,0.5474458874458874,0.27,0.35549053466399533,0.44567054301477677,0.11300317418452449,0.11832159566199234,0.12678115221400085,0.12246446192950697,models/7_5_PHM_C01_SS_HighNBD__RF_Model_05-Jul-2023_18-17_0.87_0.62_0.80.mdl,260.3252053260803,17.82026481628418,1.902874231338501,17.419271230697632
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,7,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.5681223358908781,0.545,0.5539732974800294,0.5617827864566995,0.09350852609769358,0.09264628073124863,0.08546364666184776,0.08832491980731572,0.3,0.025,0.04588744588744588,0.09226190476190474,0.4216370213557839,0.03535533905932738,0.06463615667148936,0.12893009203400577,0.5974257903911686,0.845,0.6987749416614768,0.6340410201341772,0.046912098033945256,0.09559753599799989,0.05885613918144302,0.049910005120698125,models/7_6_PHM_C04_SS_NoNBD__RF_Model_05-Jul-2023_18-22_0.50_1.00_0.56.mdl,240.8548698425293,17.830317974090576,1.4985792636871338,17.633789777755737
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,7,0.7125240918501788,0.8,0.7516665749094026,0.7272304461322452,0.05170733421504143,0.08819171036881969,0.054177678826684096,0.04844093766857212,0.5561774167861124,0.665,0.6026051411751364,0.5732678107632767,0.058360370016220214,0.08514693182963202,0.05119785502258191,0.052171520275295924,0.4666666666666667,0.04,0.07172030867683041,0.1393849206349206,0.44305337860837524,0.03944053188733077,0.06836246928957251,0.12588851825612454,0.5715295815295816,0.275,0.3649243212396716,0.46153512541380187,0.090016796431667,0.07168604389202189,0.0694743235122304,0.06683741525971347,models/7_7_PHM_C04_SS_LowNBD__RF_Model_05-Jul-2023_18-27_0.71_0.80_0.73.mdl,276.04347801208496,17.70618224143982,2.004208564758301,18.513267993927002
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,7,0.5979126878023937,0.9949999999999999,0.7468362874023252,0.6497223438012911,0.014903277064278011,0.015811388300841906,0.012919771291917641,0.014298934090323658,0.5209373576736006,0.835,0.6408263395709968,0.5629732370275133,0.03157685069663655,0.09442810316143528,0.049814742730892224,0.037053657625352086,0.3205665024630542,0.45499999999999996,0.3761054421768707,0.3406862745098039,0.021884790490923206,0.028382310609877334,0.02456372821343705,0.022866892951090245,0.5174603396827436,0.82,0.6332142478836655,0.5581190048213901,0.03558565376983349,0.06749485577105528,0.03662395304391469,0.03500293311800837,models/7_8_PHM_C04_SS_HighNBD__RF_Model_05-Jul-2023_18-32_0.60_0.99_0.65.mdl,242.03540635108948,17.386954069137573,2.017076015472412,19.727229595184326
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,7,1.0,0.8949999999999999,0.9439508334245176,0.9766263175230566,0.0,0.04972144630058765,0.027119633529443323,0.011471394945376358,0.48693172324751266,0.45499999999999996,0.46533962972734705,0.4764837528823261,0.1054094998535656,0.14230249470757708,0.11856297277308239,0.10776999603447586,0.35,0.02,0.037662337662337654,0.08035714285714284,0.4743416490252569,0.025819888974716113,0.048637925739008166,0.10409578086964025,0.2761904761904762,0.08,0.12059154854807028,0.1778166278166278,0.1963086855571991,0.058689389538863365,0.08190919354217169,0.11501475783953445,models/7_9_PHM_C06_SS_NoNBD__RF_Model_05-Jul-2023_18-37_1.00_0.89_0.98.mdl,393.23711109161377,26.760793209075928,2.1246397495269775,19.02672576904297
