,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9763852813852815,0.99,0.9827959438935048,0.9788586182336182,0.03286852741467674,0.02108185106778922,0.020152221885096508,0.027048259434889248,0.3,0.015000000000000003,0.02857142857142856,0.062499999999999986,0.4830458915396479,0.0241522945769824,0.0460043706228236,0.10063456073742665,0.49985957617536564,0.9650000000000001,0.6584392014519056,0.5531341236283096,0.01883904266363357,0.052967495273569046,0.027433481525303918,0.02142058768861639,0.42369811560988035,0.24,0.3016553013183255,0.3621120290528185,0.1193013018888805,0.11254628677422755,0.11920792219102684,0.12038676704001837,models/3_0_Dasic_NoNBD__RF_Model_01-Jul-2023_16-17_0.98_0.99_0.98.mdl,79.3859531879425,41.17783164978027,1.8120734691619873,36.569533824920654
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.6907728163567985,1.0,0.8167947178871549,0.7361641626347508,0.02888426939869607,0.0,0.02044004698332103,0.02635975935665869,0.5549603174603174,0.185,0.27364226921948054,0.38837204462204455,0.15203600935222458,0.06687467549246293,0.08955906228848984,0.11225810669646404,0.18333333333333332,0.015000000000000003,0.02731037078863165,0.05431547619047618,0.3374742788552765,0.0241522945769824,0.04401720716737471,0.08831942396264238,0.4654761904761905,0.11000000000000001,0.17538691582169838,0.2763330419580419,0.3664333931219427,0.08096638534327412,0.1289003695287871,0.20522617396180692,models/3_1_Dasic_LowNBD__RF_Model_01-Jul-2023_16-20_0.69_1.00_0.74.mdl,77.95847034454346,40.474870920181274,1.9526655673980713,39.079129219055176
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.8907591754650579,0.605,0.709306089859629,0.8026952764484733,0.07973358077745406,0.14804278660801634,0.10847077747461469,0.06982274667043817,0.48827903091060987,0.445,0.463609254899748,0.4775204222000561,0.11752506593728408,0.14804278660801637,0.13262020108396333,0.12339056853692307,0.5065452091767881,0.9949999999999999,0.6712448860315605,0.5616631430584919,0.011160493161885096,0.015811388300841913,0.011091222498091163,0.011216153151196721,0.506368783211225,0.51,0.5036485704248781,0.5039645958552995,0.08275649546172928,0.12202003478482087,0.09547283499892487,0.08494334511120083,models/3_2_Dasic_HighNBD__RF_Model_01-Jul-2023_16-23_0.89_0.60_0.80.mdl,75.18760085105896,40.19368600845337,1.9058020114898682,38.38160824775696
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.616142688747053,1.0,0.7622587122254159,0.6672799896484106,0.023242481622217145,0.0,0.017523721497191985,0.021694141400509438,0.505407565356078,0.495,0.4982976220246722,0.5021026175224076,0.07581962457415797,0.0955975359979999,0.07929160002276697,0.07550756303522144,0.4922383922383922,0.9650000000000001,0.6518584597085935,0.5456800144300143,0.006683455875302879,0.03374742788552765,0.013299384912984345,0.008588760140230883,0.5262392272952914,0.61,0.5625579698589457,0.5396635534368583,0.057909581102095826,0.08755950357709129,0.05819420107114955,0.05476768116992697,models/3_3_PHM_C01_SS_NoNBD__RF_Model_01-Jul-2023_16-25_0.62_1.00_0.67.mdl,240.14262294769287,39.3087797164917,1.8589372634887695,37.709895610809326
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,1.0,0.655,0.7905310217928814,0.9037049578603373,0.0,0.049721446300587634,0.03736275789347042,0.020078345344006897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.030000000000000006,0.05462074157726331,0.10863095238095237,0.4830458915396479,0.0421637021355784,0.07572606581635037,0.1468203693905475,0.5402320800114918,0.375,0.4375283945744071,0.49150653725882554,0.1237672309428064,0.0790569415042095,0.07762865144826515,0.09294474564939142,models/3_4_PHM_C01_SS_LowNBD__RF_Model_01-Jul-2023_16-31_1.00_0.66_0.90.mdl,213.6113636493683,32.8204185962677,1.499643087387085,31.60195302963257
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6887886893726716,0.99,0.8119188313623322,0.7332048823317205,0.030954532321233363,0.02108185106778922,0.022549344786404538,0.028147964983453976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.985,0.6632573543736606,0.5546012450082217,0.008547008547008558,0.024152294576982425,0.011984508823129921,0.00953569900655941,0.5047533664642293,0.45999999999999996,0.478680199834333,0.4932036562471345,0.06853568195091103,0.107496769977314,0.08510418146486601,0.07344489868556872,models/3_5_PHM_C01_SS_HighNBD__RF_Model_01-Jul-2023_16-35_0.69_0.99_0.73.mdl,138.35813856124878,32.85166096687317,1.4996466636657715,31.695682287216187
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.49615384615384617,0.975,0.6576076368595363,0.5501820530890298,0.0086531866373148,0.02635231383473651,0.012832123674314183,0.009874212361423287,0.5259386008728114,0.4,0.450304279054279,0.4915077215096565,0.06234476357208189,0.08498365855987976,0.06174980594691106,0.05558242556160591,0.9554166666666667,0.735,0.8304481792717088,0.9010338345864662,0.04263006604339474,0.033747427885527675,0.03256058338782294,0.036264912638568424,0.5407163128409258,0.8799999999999999,0.6686888973471123,0.5853989496431357,0.032737116391331346,0.0788810637746615,0.03795711006850462,0.03319258885231401,models/3_6_PHM_C04_SS_NoNBD__RF_Model_01-Jul-2023_16-39_0.50_0.97_0.55.mdl,189.0732741355896,32.82041621208191,1.4996469020843506,31.695682287216187
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7815260745695529,0.9949999999999999,0.8750099797536496,0.8163402457757296,0.028148863002048063,0.01581138830084191,0.015210192640164705,0.023397579168295535,0.5277956900965799,0.795,0.6331705554016478,0.5652655703319261,0.03458264575662252,0.07245688373094718,0.03916528149136272,0.034842258512236116,0.4997152010309905,0.96,0.6571060541476426,0.5526472487618262,0.01548216106896749,0.0567646212197547,0.02583552804325605,0.0185240499412617,0.5412961548255666,0.39,0.45142111785138345,0.5005729145725276,0.08984316647161382,0.09944289260117532,0.0965412930059808,0.09253840200902073,models/3_7_PHM_C04_SS_LowNBD__RF_Model_01-Jul-2023_16-43_0.78_0.99_0.82.mdl,181.79458141326904,33.4765145778656,1.5308895111083984,32.351773500442505
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7094426397401226,0.8099999999999999,0.7545983597348613,0.7264707074586106,0.057897047215478524,0.0843274042711568,0.05874807419751926,0.055679939814976105,0.5833333333333333,0.065,0.11584792019574627,0.2194940476190476,0.4392052305789416,0.05296749527356902,0.09296802160927906,0.17115790850498835,0.25,0.02,0.036796536796536786,0.07440476190476189,0.42491829279939874,0.03496029493900506,0.06399024025582027,0.1280107926643248,0.4492857142857143,0.125,0.19441310541310539,0.29318181818181815,0.19060858494060862,0.06346477588219923,0.09407416270392444,0.13346038567935156,models/3_8_PHM_C04_SS_HighNBD__RF_Model_01-Jul-2023_16-47_0.71_0.81_0.73.mdl,145.62205815315247,32.789175510406494,1.4996464252471924,35.35107350349426
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,1.0,0.51,0.6740505323375179,0.8369677197802197,0.0,0.05163977794943224,0.047008970635740124,0.030283226132658884,0.48116381203337727,0.515,0.49675038547743566,0.4871071607053616,0.08291260050749483,0.11067971810589328,0.09462617308611372,0.08706805540661598,0.4987179487179487,0.985,0.6621468926553672,0.5533459595959596,0.009459804966315679,0.024152294576982425,0.013263138878839181,0.01063179131234776,0.27369921744921744,0.175,0.21290693941310637,0.24539980465870553,0.12443772449946383,0.08579691784155832,0.10061491176976543,0.11328114024562892,models/3_9_PHM_C06_SS_NoNBD__RF_Model_01-Jul-2023_16-51_1.00_0.51_0.84.mdl,193.77729988098145,32.75793218612671,1.499645709991455,31.66443943977356
