,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,4,1.0,0.7150000000000001,0.8330192683133859,0.9254647034252299,0.0,0.04743416490252573,0.03215036300863241,0.015868516178435828,0.5476665208889904,0.745,0.6302919200926803,0.5778233815077755,0.0630413611398209,0.08644201653259964,0.06830952859486866,0.0644375516078675,0.38333333333333336,0.030000000000000006,0.05501599849425935,0.1108630952380952,0.4584595785728391,0.03496029493900506,0.06390682400400702,0.1281284662221865,0.3605555555555556,0.08,0.12857966471309798,0.20550595238095237,0.25451276779602516,0.06324555320336758,0.0999142911595647,0.15471774492353255,models/4_0_Dasic_NoNBD__RF_Model_02-Jul-2023_13-58_1.00_0.72_0.93.mdl,45.59868836402893,26.478137254714966,0.9529268741607666,25.634615898132324
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,4,0.8831611142480709,0.9650000000000001,0.9216544383957883,0.898036363381191,0.04293518399205849,0.024152294576982418,0.0260195371547156,0.03584941253183921,0.52859964906842,0.54,0.532229999977858,0.5295780703623657,0.09040706799879858,0.09368979548370131,0.08517068314551193,0.08680235821021565,0.3,0.02,0.03722943722943722,0.07738095238095236,0.48304589153964794,0.03496029493900506,0.0644102569856561,0.1310124922160252,0.13333333333333333,0.02,0.03445322793148879,0.061259920634920625,0.21942686286812776,0.03496029493900506,0.05937959630085421,0.10324433407495788,models/4_1_Dasic_LowNBD__RF_Model_02-Jul-2023_14-00_0.88_0.97_0.90.mdl,43.58317995071411,26.462548971176147,0.9685473442077637,25.618996620178223
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,4,0.9952380952380953,0.8800000000000001,0.9320272521812958,0.9683658732571777,0.01505846504842083,0.07888106377466157,0.04175427620944278,0.017354093122770604,0.6123032523032523,0.375,0.4621919553542925,0.5404474728487887,0.12834020853574218,0.11365151414154881,0.1198970272861863,0.1234743510902335,0.6554125479995045,0.825,0.7300521576585944,0.6832816058848457,0.030825340354749736,0.04249182927993986,0.03063947197220476,0.02995363917304533,0.4682539682539682,0.10500000000000001,0.1636181298849964,0.2532016594516594,0.2801673485192071,0.0724568837309472,0.10301475376080496,0.1394893701075338,models/4_2_Dasic_HighNBD__RF_Model_02-Jul-2023_14-01_1.00_0.88_0.97.mdl,42.482828855514526,26.478169202804565,0.9529268741607666,25.52526831626892
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,4,1.0,0.9349999999999999,0.96612685560054,0.9860960144927537,0.0,0.03374742788552762,0.01793117792042105,0.007451217354731017,0.5312897149440168,0.75,0.6205335958448092,0.563489992771302,0.04709950259185465,0.08498365855987974,0.053525645298169756,0.04796593506536127,0.4,0.03,0.05465838509316769,0.10937499999999997,0.5163977794943222,0.048304589153964794,0.08523720092940777,0.15996735416374225,0.3057142857142857,0.08499999999999999,0.1319316239316239,0.1987373737373737,0.1312296247487228,0.041163630117428227,0.06116001573263235,0.08761985425031592,models/4_3_PHM_C01_SS_NoNBD__RF_Model_02-Jul-2023_14-03_1.00_0.93_0.99.mdl,134.23744583129883,26.58751893043518,0.9529013633728027,25.868937730789185
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,4,0.3,0.015000000000000003,0.02857142857142856,0.062499999999999986,0.48304589153964794,0.0241522945769824,0.0460043706228236,0.10063456073742663,0.48996560027519787,0.41,0.4445648554859081,0.4700810857940014,0.06368147785770344,0.06992058987801013,0.06250106620530359,0.06077440362929474,0.3,0.030000000000000006,0.05379258422736684,0.10342261904761903,0.42889464590263965,0.0421637021355784,0.07527645951240569,0.14378291096852752,0.5517094017094017,0.43,0.4770077754469769,0.5165087991718427,0.11602701829784941,0.15129074290546957,0.1343443862830979,0.12075629534351241,models/4_4_PHM_C01_SS_LowNBD__RF_Model_02-Jul-2023_14-06_0.30_0.02_0.06.mdl,112.76921057701111,26.55627703666687,0.9373059272766113,25.603349447250366
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,4,0.805,0.11000000000000001,0.1870540039670474,0.330573593073593,0.24216742499435193,0.06146362971528591,0.09298606454737156,0.131389858164807,0.5224115377376247,0.575,0.5464692216196829,0.5315568795272694,0.09106207084163531,0.10341394704992378,0.09480033927564852,0.09200537053643344,0.8883333333333333,0.125,0.21668379446640315,0.39077380952380947,0.14908155030712322,0.03535533905932737,0.05186530697902623,0.06793715694690736,0.23166666666666663,0.045,0.07505797101449274,0.12569444444444444,0.21737065119284157,0.03689323936863109,0.0626452691082967,0.10849791629107985,models/4_5_PHM_C01_SS_HighNBD__RF_Model_02-Jul-2023_14-09_0.81_0.11_0.33.mdl,72.4830391407013,26.462546586990356,0.9529023170471191,25.587753534317017
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,4,0.6632574553736956,1.0,0.7972472065749376,0.7110188874894756,0.02747589899576529,0.0,0.019718648794375845,0.025200201356335158,0.4994001670843776,0.5,0.49736378156147093,0.49804160229104005,0.06325550829510906,0.11055415967851333,0.08184695375404721,0.06921362354932604,0.2,0.01,0.019047619047619042,0.04166666666666666,0.4216370213557839,0.021081851067789197,0.040155906795788926,0.0878410461157883,0.5692207792207793,0.465,0.5055237216009432,0.5395893658686851,0.12844494492634678,0.07835106182362106,0.0809678319610579,0.10108975649057171,models/4_6_PHM_C04_SS_NoNBD__RF_Model_02-Jul-2023_14-11_0.66_1.00_0.71.mdl,132.29714727401733,27.337343454360962,0.9685509204864502,26.78790283203125
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,4,0.780735039178975,0.85,0.811316434591558,0.7921531593406593,0.06656757387440738,0.08164965809277264,0.056537853056326,0.059478611711031394,0.4951067821067821,0.5349999999999999,0.5131624793691546,0.5019388703084355,0.09909219696885763,0.1375378735718517,0.11506121475329141,0.10481331252472513,0.31666666666666665,0.025,0.04552983248635421,0.0907738095238095,0.4040688121326263,0.026352313834736497,0.048072016880531906,0.09725258677105134,0.527656862745098,0.495,0.506254887875955,0.5176922419685578,0.047978857906660705,0.08644201653259957,0.051826489773576734,0.042907129189350385,models/4_7_PHM_C04_SS_LowNBD__RF_Model_02-Jul-2023_14-14_0.78_0.85_0.79.mdl,119.33467245101929,27.056159257888794,0.9685227870941162,26.05639386177063
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,4,0.6648696964881614,0.9800000000000001,0.7920158063225291,0.7104606994312876,0.020271276900787564,0.025819888974716137,0.017746520150677344,0.01911700038082046,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.4,0.04,0.071974402409185,0.13913690476190474,0.45946829173634074,0.05163977794943222,0.09123038947826445,0.17024984523497258,0.43567765567765565,0.195,0.26315930812482535,0.34072177822177824,0.14837054126319435,0.0955975359979999,0.1081888525428791,0.121346027056276,models/4_8_PHM_C04_SS_HighNBD__RF_Model_02-Jul-2023_14-17_0.66_0.98_0.71.mdl,102.69330072402954,26.493791103363037,0.9529261589050293,25.50964665412903
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,4,1.0,0.595,0.7426101292979524,0.8763387482185857,0.0,0.08644201653259959,0.07123351572113815,0.0418272849625528,0.5186858610721176,0.5,0.505377697374294,0.5122881644217852,0.08668370323846336,0.11055415967851331,0.08473513518282058,0.08136677636150735,0.4947350184192289,0.9650000000000001,0.6540209377915859,0.5481245176012617,0.011010258648629073,0.041163630117428275,0.01833970186482061,0.013135180174233952,0.5958842444412159,0.72,0.6500377230138489,0.6160559094762948,0.042887025656952085,0.09189365834726816,0.05235434334122034,0.04350165678184665,models/4_9_PHM_C06_SS_NoNBD__RF_Model_02-Jul-2023_14-20_1.00_0.60_0.88.mdl,131.68791913986206,26.55624485015869,0.9529025554656982,25.572131633758545
