""
Overall Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.6962,0.0542,0.6462,0.0456,0.6234,0.0436,0.6416,0.0457
A2C,0.4393,0.0716,0.4852,0.0838,0.441,0.0675,0.4316,0.0644
DQN,0.4461,0.181,0.5307,0.0328,0.3929,0.0363,0.3671,0.0591
PPO,0.4502,0.1514,0.3108,0.0851,0.3352,0.0908,0.3774,0.1081
-----------------------------------------------------------------------
""
Simulated Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.9099,0.0271,0.869,0.0408,0.8726,0.0314,0.8906,0.028
A2C,0.469,0.0835,0.4872,0.095,0.4568,0.0755,0.4494,0.0711
DQN,0.4708,0.1355,0.6102,0.0296,0.451,0.0292,0.417,0.0454
PPO,0.4339,0.1872,0.2222,0.0798,0.2659,0.0963,0.3268,0.1232
-----------------------------------------------------------------------
""
PHM Single-variable state Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.6308,0.0493,0.6426,0.0438,0.5973,0.0408,0.5992,0.0414
A2C,0.4371,0.0703,0.4626,0.0832,0.4318,0.0679,0.4287,0.0647
DQN,0.4244,0.1927,0.5203,0.0337,0.3787,0.038,0.3493,0.0629
PPO,0.4418,0.1514,0.3082,0.0806,0.3294,0.0867,0.3696,0.1052
-----------------------------------------------------------------------
""
PHM Multi-variate state Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.6787,0.0961,0.4343,0.0556,0.4524,0.0643,0.5199,0.0763
A2C,0.4162,0.0638,0.5512,0.0743,0.4528,0.0581,0.4223,0.0567
DQN,0.4867,0.1913,0.4825,0.0333,0.3775,0.0381,0.3705,0.0615
PPO,0.4916,0.1154,0.407,0.1038,0.422,0.0974,0.4516,0.1017
-----------------------------------------------------------------------
