""
Overall Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.6868,0.0594,0.6292,0.0509,0.6092,0.0497,0.6306,0.0518
A2C,0.4488,0.0875,0.4795,0.0839,0.4417,0.0704,0.4358,0.0712
DQN,0.4176,0.1848,0.5041,0.0321,0.374,0.0354,0.3475,0.0575
PPO,0.4721,0.1444,0.3156,0.0867,0.3449,0.091,0.3929,0.1046
-----------------------------------------------------------------------
""
Simulated Environment Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.8059,0.0397,0.9153,0.0375,0.8414,0.0354,0.8156,0.0369
A2C,0.4155,0.1201,0.3848,0.0727,0.3626,0.0717,0.3733,0.0821
DQN,0.4315,0.1835,0.51,0.0313,0.3738,0.0344,0.3508,0.0562
PPO,0.4998,0.1779,0.2145,0.0814,0.2845,0.0993,0.3704,0.1221
-----------------------------------------------------------------------
""
PHM Real Data - Simple uni-variate state
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.605,0.0462,0.6033,0.046,0.5698,0.041,0.5762,0.0403
A2C,0.4473,0.0771,0.4769,0.0905,0.4524,0.0724,0.4461,0.0697
DQN,0.4192,0.1788,0.5067,0.0323,0.3786,0.0357,0.3517,0.0572
PPO,0.4497,0.1459,0.3139,0.0815,0.333,0.0866,0.3741,0.1017
-----------------------------------------------------------------------
""
PHM Real Data - Multi-variate state Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.8128,0.1187,0.4207,0.0789,0.4949,0.0898,0.6087,0.101
A2C,0.4867,0.0861,0.582,0.0754,0.4884,0.0634,0.4673,0.0651
DQN,0.3989,0.2041,0.4907,0.0324,0.3605,0.0354,0.3316,0.0598
PPO,0.5115,0.1067,0.4215,0.1074,0.4408,0.0958,0.4715,0.0956
-----------------------------------------------------------------------
