,algorithm,environment_info,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
27,RF_,PHM C01 MS NBD,0.826959308807135,0.995,0.9028949760496776,0.8556862121934424,0.0359002297089859,0.0158113883008419,0.0244986424981483,0.0316912369081113,0.4834456771298877,0.3399999999999999,0.3968840267891501,0.4437225877192982,0.1205217579141469,0.1100504934614612,0.1142074640421922,0.1174880170500477,0.4960863697705803,0.955,0.6527699289134584,0.5487547308839141,0.01089827409291,0.0437797517885456,0.0170735683657805,0.012375100790907,0.486572039072039,0.325,0.3858387655782765,0.4387640296393156,0.137551392945386,0.0754615428178118,0.0882247489336683,0.1090809997406408
72,A2C,PHM C01 MS NBD,1.0,0.2799999999999999,0.4341229141229141,0.6529963092463092,0.0,0.0632455532033675,0.0760412879705043,0.0692381197245828,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.35,0.025,0.0463203463203463,0.0952380952380952,0.4743416490252568,0.0353553390593273,0.0649847493103655,0.1314624505831543,0.5626134976134975,0.275,0.3606136541536986,0.4523517740429505,0.1156972023202122,0.0790569415042094,0.0782924986245741,0.0746132978912213
57,DQN,PHM C01 MS NBD,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.5087678022460631,0.535,0.5208056300706388,0.5133413185043619,0.0766911553692624,0.078351061823621,0.0740077473209747,0.0748439848702724,0.5053361053361053,0.985,0.6678765880217785,0.5598247843887378,0.014344537762902,0.0241522945769824,0.0158001689114931,0.0148370742770591,0.4531913116123641,0.265,0.3274985821030446,0.3893622276845961,0.1225244743128236,0.1106797181058932,0.1116980526866756,0.1135435981072958
87,PPO,PHM C01 MS NBD,0.8348785581986551,0.8949999999999999,0.8607503128686143,0.8443283666288395,0.0844975439581042,0.0895978670381041,0.0700132043425573,0.0754483512112889,0.4709523809523809,0.135,0.2063821593476765,0.307106782106782,0.2516331138500866,0.052967495273569,0.0828302027471292,0.1344657806514851,0.3943560606060606,0.635,0.4864615384615384,0.4266587075797601,0.0160985591204466,0.0337474278855276,0.0212732647607227,0.0177095307742724,0.5115879917184265,0.595,0.5488544283283365,0.5256261793761794,0.1117164111184006,0.1300640867675111,0.1160922659250463,0.1127351659143377
80,RF_,PHM C01 SS HBD,0.8504526632787502,0.97,0.9053034190867428,0.8713760297812023,0.0604574252100494,0.034960294939005,0.0409615761100463,0.0525375023322192,0.5189603722730658,0.495,0.5016351002524599,0.5106685653056621,0.0675397749016195,0.0955975359979998,0.065735021774377,0.0621476968487671,0.5,0.99,0.6644067796610169,0.5549242424242424,0.0085470085470085,0.0210818510677892,0.0116700063162558,0.0095047052109732,0.5202648046398046,0.725,0.6043546154890498,0.5507074440394448,0.0425961561994134,0.0889756521002609,0.0525385768806891,0.0446573919343165
110,A2C,PHM C01 SS HBD,0.8680128205128206,0.625,0.7233479532163744,0.8024479356960177,0.0814997713220476,0.1136515141415487,0.0935893242190078,0.0814954959192359,0.5211213797567718,0.6799999999999999,0.5880295418372039,0.5456220886605136,0.0559363465382372,0.1251665557034572,0.0791445106916453,0.0631223939441525,0.4987179487179487,0.99,0.6632573543736606,0.5536542753112521,0.004054202128421,0.0210818510677892,0.0076492023828155,0.0049819868415797,0.5474458874458874,0.27,0.3554905346639953,0.4456705430147767,0.1130031741845244,0.1183215956619923,0.1267811522140008,0.1224644619295069
5,DQN,PHM C01 SS HBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053306342780026,0.985,0.6678940190921488,0.5598279304674654,0.015355552042515,0.0241522945769824,0.0173969536109564,0.0160871962439516,0.4634919356006312,0.525,0.4917662047275601,0.4742928169860873,0.1053937692557796,0.1086533734200441,0.1058582647151298,0.1054176295001554
80,PPO,PHM C01 SS HBD,0.8504526632787502,0.97,0.9053034190867428,0.8713760297812023,0.0604574252100494,0.034960294939005,0.0409615761100463,0.0525375023322192,0.5189603722730658,0.495,0.5016351002524599,0.5106685653056621,0.0675397749016195,0.0955975359979998,0.065735021774377,0.0621476968487671,0.5,0.99,0.6644067796610169,0.5549242424242424,0.0085470085470085,0.0210818510677892,0.0116700063162558,0.0095047052109732,0.5202648046398046,0.725,0.6043546154890498,0.5507074440394448,0.0425961561994134,0.0889756521002609,0.0525385768806891,0.0446573919343165
4,RF_,PHM C01 SS LBD,0.9881944444444444,0.765,0.8607603643207359,0.9323771591363124,0.0249420624945388,0.0625832778517286,0.0388853234532537,0.0227089450659892,0.490177177483679,0.505,0.4958148527300728,0.4920491574681616,0.0783927373908994,0.1141392911217595,0.0913502589621522,0.0824201947636643,0.5,0.985,0.6632573543736606,0.5546012450082217,0.0085470085470085,0.0241522945769824,0.0119845088231299,0.0095356990065593,0.2652380952380952,0.09,0.1328221408221407,0.1880827505827505,0.1854867348307849,0.0614636297152859,0.088459417258968,0.1254406820449769
19,A2C,PHM C01 SS LBD,0.4974358974358974,0.985,0.6610169491525423,0.5520833333333333,0.008108404256842,0.0241522945769824,0.0122047847427643,0.0093461355181828,0.4987179487179487,0.995,0.6644067796610169,0.5539772727272727,0.004054202128421,0.0158113883008419,0.0071463901924709,0.0049909685293061,0.25,0.025,0.0454545454545454,0.0892857142857142,0.4249182927993987,0.0424918292799398,0.0772578714180724,0.1517565331426423,0.4339255189255189,0.175,0.2447555968935279,0.3276508214008213,0.1682110132258405,0.1006920497799547,0.1225583268935416,0.1425280320033808
124,DQN,PHM C01 SS LBD,0.9677777777777776,0.505,0.660905046010719,0.8145906279178338,0.0519707631219586,0.089597867038104,0.0851110482312611,0.0698047361546758,0.4571477052359405,0.3299999999999999,0.3812611984748207,0.4226681755151266,0.1442674218363623,0.1273664878302853,0.1326583170460793,0.1380803610616844,0.5038461538461538,0.99,0.6677966101694915,0.5587121212121212,0.0105547769531867,0.0210818510677892,0.0135278983021227,0.0115261480956474,0.5822679513468987,0.63,0.6034075708295723,0.5901574956938405,0.0522140814038872,0.075277265270908,0.0519483793958368,0.049332536520133
49,PPO,PHM C01 SS LBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5075868347338935,0.5650000000000001,0.5327260979700004,0.5168896748207092,0.0778677522366961,0.0883490552046571,0.0732333095484999,0.0738560932751187,0.3,0.02,0.0372294372294372,0.0773809523809523,0.4216370213557839,0.0258198889747161,0.0480846536211452,0.1003897669894723,0.6231999851999852,0.74,0.6754439240705344,0.6428797904604356,0.0825353538096256,0.1220200347848208,0.095933490205186,0.0867158248377622
48,RF_,PHM C01 SS NBD,0.8892715979672502,0.995,0.9388596277989356,0.9083994708994708,0.0285548186600278,0.0158113883008419,0.0160121894615339,0.023364535974122,0.3512066365007541,0.265,0.301216427667666,0.3290300353204176,0.0787887488483982,0.0625832778517286,0.0681608134691587,0.073567122577257,0.5039811066126856,0.98,0.6655756867329047,0.5581835799859055,0.0138228719462171,0.0258198889747161,0.0165273215100664,0.0146999925203347,0.572502598850425,0.6950000000000001,0.6268120893905746,0.5928688321833484,0.0673678328009516,0.1165475582469805,0.086097022496243,0.0737321210997507
108,A2C,PHM C01 SS NBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5862621280396216,0.625,0.6029176298428769,0.592323817486861,0.0826466397665844,0.1230401921686116,0.0954090526182921,0.0856312164670185,0.3666666666666666,0.035,0.0625258799171842,0.1197916666666666,0.4288946459026396,0.0411636301174282,0.0723407546359514,0.1345906072452382,0.3275,0.08,0.1234572354182548,0.1887893356643356,0.1603454026411364,0.053748384988657,0.0746258072035055,0.0976699937293977
