""
Overall Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.7658,0.0705,0.6961,0.0492,0.6788,0.0493,0.7029,0.0536
A2C,0.4517,0.0866,0.4621,0.0857,0.4337,0.0719,0.433,0.0712
DQN,0.4299,0.1942,0.4646,0.0342,0.3541,0.0395,0.3388,0.064
PPO,0.4527,0.1439,0.303,0.0875,0.3348,0.0921,0.3806,0.1065
-----------------------------------------------------------------------
""
Simulated Environment Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.933,0.0282,0.8228,0.0467,0.8546,0.0379,0.8923,0.0316
A2C,0.4729,0.1213,0.3865,0.0893,0.3993,0.0821,0.4213,0.0861
DQN,0.4654,0.2291,0.4142,0.0354,0.331,0.0429,0.3331,0.0725
PPO,0.3667,0.2044,0.1402,0.0687,0.1866,0.0903,0.2509,0.1243
-----------------------------------------------------------------------
""
PHM Real Data - Simple uni-variate state
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.7146,0.0574,0.7532,0.0435,0.6958,0.042,0.689,0.045
A2C,0.4302,0.0728,0.4429,0.089,0.425,0.0717,0.4234,0.0682
DQN,0.4082,0.1845,0.4962,0.0348,0.3655,0.0397,0.3382,0.0635
PPO,0.4674,0.136,0.3347,0.088,0.3588,0.0907,0.4,0.1031
-----------------------------------------------------------------------
""
PHM Real Data - Multi-variate state Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.7521,0.152,0.3982,0.0687,0.4519,0.083,0.5549,0.1015
A2C,0.495,0.0936,0.5952,0.0721,0.4943,0.0624,0.4737,0.0652
DQN,0.4597,0.1884,0.4203,0.0313,0.3429,0.0354,0.3466,0.0571
PPO,0.4945,0.1073,0.3708,0.1048,0.4107,0.0981,0.4519,0.099
-----------------------------------------------------------------------
""
Overall Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.7658,0.0705,0.6961,0.0492,0.6788,0.0493,0.7029,0.0536
A2C,0.4517,0.0866,0.4621,0.0857,0.4337,0.0719,0.433,0.0712
DQN,0.4299,0.1942,0.4646,0.0342,0.3541,0.0395,0.3388,0.064
PPO,0.4527,0.1439,0.303,0.0875,0.3348,0.0921,0.3806,0.1065
-----------------------------------------------------------------------
""
Simulated Environment Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.933,0.0282,0.8228,0.0467,0.8546,0.0379,0.8923,0.0316
A2C,0.4729,0.1213,0.3865,0.0893,0.3993,0.0821,0.4213,0.0861
DQN,0.4654,0.2291,0.4142,0.0354,0.331,0.0429,0.3331,0.0725
PPO,0.3667,0.2044,0.1402,0.0687,0.1866,0.0903,0.2509,0.1243
-----------------------------------------------------------------------
""
PHM Real Data - Simple uni-variate state
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.7146,0.0574,0.7532,0.0435,0.6958,0.042,0.689,0.045
A2C,0.4302,0.0728,0.4429,0.089,0.425,0.0717,0.4234,0.0682
DQN,0.4082,0.1845,0.4962,0.0348,0.3655,0.0397,0.3382,0.0635
PPO,0.4674,0.136,0.3347,0.088,0.3588,0.0907,0.4,0.1031
-----------------------------------------------------------------------
""
PHM Real Data - Multi-variate state Performance
,Pr_mean,Pr_sd,Rc_mean,Rc_sd,F1_mean,F1_sd,F05_mean,F05_sd
REINFORCE,0.7521,0.152,0.3982,0.0687,0.4519,0.083,0.5549,0.1015
A2C,0.495,0.0936,0.5952,0.0721,0.4943,0.0624,0.4737,0.0652
DQN,0.4597,0.1884,0.4203,0.0313,0.3429,0.0354,0.3466,0.0571
PPO,0.4945,0.1073,0.3708,0.1048,0.4107,0.0981,0.4519,0.099
-----------------------------------------------------------------------
